Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
12,7710,57496,ROMO,Rocky Mountain NP,2008
1,7324,70858,ROMO,Rocky Mountain NP,2009
2,14816,58375,ROMO,Rocky Mountain NP,2009
3,8787,75022,ROMO,Rocky Mountain NP,2009
4,5758,58842,ROMO,Rocky Mountain NP,2009
5,12081,207827,ROMO,Rocky Mountain NP,2009
6,20467,426453,ROMO,Rocky Mountain NP,2009
7,29939,626907,ROMO,Rocky Mountain NP,2009
8,26800,568455,ROMO,Rocky Mountain NP,2009
9,20703,443488,ROMO,Rocky Mountain NP,2009
10,8938,171959,ROMO,Rocky Mountain NP,2009
11,6824,67894,ROMO,Rocky Mountain NP,2009
12,6767,46245,ROMO,Rocky Mountain NP,2009
1,9833,64618,ROMO,Rocky Mountain NP,2010
2,6835,44576,ROMO,Rocky Mountain NP,2010
3,6778,70117,ROMO,Rocky Mountain NP,2010
4,6737,69097,ROMO,Rocky Mountain NP,2010
5,11780,180710,ROMO,Rocky Mountain NP,2010
6,22443,441738,ROMO,Rocky Mountain NP,2010
7,30683,668418,ROMO,Rocky Mountain NP,2010
8,29990,574638,ROMO,Rocky Mountain NP,2010
9,22514,461942,ROMO,Rocky Mountain NP,2010
10,10845,245770,ROMO,Rocky Mountain NP,2010
11,7714,67862,ROMO,Rocky Mountain NP,2010
12,6474,66335,ROMO,Rocky Mountain NP,2010
1,8131,68641,ROMO,Rocky Mountain NP,2011
2,6085,50540,ROMO,Rocky Mountain NP,2011
3,7229,73760,ROMO,Rocky Mountain NP,2011
4,5940,77183,ROMO,Rocky Mountain NP,2011
5,10025,163587,ROMO,Rocky Mountain NP,2011
6,27264,500733,ROMO,Rocky Mountain NP,2011
7,29070,743741,ROMO,Rocky Mountain NP,2011
8,25498,620534,ROMO,Rocky Mountain NP,2011
9,22179,483780,ROMO,Rocky Mountain NP,2011
10,9157,264617,ROMO,Rocky Mountain NP,2011
11,6514,68076,ROMO,Rocky Mountain NP,2011
12,11581,61749,ROMO,Rocky Mountain NP,2011
1,90,68537,ROMO,Rocky Mountain NP,2012
2,50,62036,ROMO,Rocky Mountain NP,2012
3,80,104374,ROMO,Rocky Mountain NP,2012
4,70,117053,ROMO,Rocky Mountain NP,2012
5,490,228950,ROMO,Rocky Mountain NP,2012
6,1400,500206,ROMO,Rocky Mountain NP,2012
7,2050,651722,ROMO,Rocky Mountain NP,2012
8,2300,589131,ROMO,Rocky Mountain NP,2012
9,1500,527172,ROMO,Rocky Mountain NP,2012
10,560,219946,ROMO,Rocky Mountain NP,2012
11,100,93714,ROMO,Rocky Mountain NP,2012
12,60,66776,ROMO,Rocky Mountain NP,2012
1,90,78022,ROMO,Rocky Mountain NP,2013
2,50,68831,ROMO,Rocky Mountain NP,2013
3,80,89691,ROMO,Rocky Mountain NP,2013
4,70,90379,ROMO,Rocky Mountain NP,2013
5,490,239184,ROMO,Rocky Mountain NP,2013
6,1400,602508,ROMO,Rocky Mountain NP,2013
7,2050,712583,ROMO,Rocky Mountain NP,2013
8,2300,621852,ROMO,Rocky Mountain NP,2013
9,1500,253467,ROMO,Rocky Mountain NP,2013
10,560,66275,ROMO,Rocky Mountain NP,2013
11,100,86379,ROMO,Rocky Mountain NP,2013
12,60,81970,ROMO,Rocky Mountain NP,2013
1,90,77633,ROMO,Rocky Mountain NP,2014
2,50,76881,ROMO,Rocky Mountain NP,2014
3,80,99077,ROMO,Rocky Mountain NP,2014
4,70,97100,ROMO,Rocky Mountain NP,2014
5,490,220532,ROMO,Rocky Mountain NP,2014
6,1400,538725,ROMO,Rocky Mountain NP,2014
7,2050,693685,ROMO,Rocky Mountain NP,2014
8,2300,616826,ROMO,Rocky Mountain NP,2014
9,1500,537694,ROMO,Rocky Mountain NP,2014
10,560,305651,ROMO,Rocky Mountain NP,2014
11,100,90915,ROMO,Rocky Mountain NP,2014
12,60,80032,ROMO,Rocky Mountain NP,2014
1,90,98928,ROMO,Rocky Mountain NP,2015
2,50,85123,ROMO,Rocky Mountain NP,2015
3,80,134304,ROMO,Rocky Mountain NP,2015
4,70,116959,ROMO,Rocky Mountain NP,2015
5,490,259711,ROMO,Rocky Mountain NP,2015
6,1400,608796,ROMO,Rocky Mountain NP,2015
7,2050,858426,ROMO,Rocky Mountain NP,2015
8,2300,765579,ROMO,Rocky Mountain NP,2015
9,1500,644350,ROMO,Rocky Mountain NP,2015
10,560,371558,ROMO,Rocky Mountain NP,2015
11,100,118398,ROMO,Rocky Mountain NP,2015
12,60,93784,ROMO,Rocky Mountain NP,2015
1,90,115207,ROMO,Rocky Mountain NP,2016
2,50,105125,ROMO,Rocky Mountain NP,2016
3,80,135053,ROMO,Rocky Mountain NP,2016
4,70,129967,ROMO,Rocky Mountain NP,2016
5,490,285868,ROMO,Rocky Mountain NP,2016
6,1400,700990,ROMO,Rocky Mountain NP,2016
7,2050,912507,ROMO,Rocky Mountain NP,2016
8,2300,772849,ROMO,Rocky Mountain NP,2016
9,1500,711110,ROMO,Rocky Mountain NP,2016
10,560,398525,ROMO,Rocky Mountain NP,2016
11,100,158553,ROMO,Rocky Mountain NP,2016
12,60,91831,ROMO,Rocky Mountain NP,2016
1,90,95602,ROMO,Rocky Mountain NP,2017
2,50,98832,ROMO,Rocky Mountain NP,2017
3,80,145110,ROMO,Rocky Mountain NP,2017
4,70,158360,ROMO,Rocky Mountain NP,2017
5,490,263222,ROMO,Rocky Mountain NP,2017
6,1400,741247,ROMO,Rocky Mountain NP,2017
7,2050,885478,ROMO,Rocky Mountain NP,2017
8,2300,782625,ROMO,Rocky Mountain NP,2017
9,1500,681160,ROMO,Rocky Mountain NP,2017
10,560,332526,ROMO,Rocky Mountain NP,2017
11,100,140223,ROMO,Rocky Mountain NP,2017
12,60,112830,ROMO,Rocky Mountain NP,2017
1,90,111422,ROMO,Rocky Mountain NP,2018
2,50,84245,ROMO,Rocky Mountain NP,2018
3,80,156434,ROMO,Rocky Mountain NP,2018
4,70,151975,ROMO,Rocky Mountain NP,2018
5,490,305993,ROMO,Rocky Mountain NP,2018
6,1400,720822,ROMO,Rocky Mountain NP,2018
7,2050,931929,ROMO,Rocky Mountain NP,2018
8,2300,798306,ROMO,Rocky Mountain NP,2018
9,1500,784480,ROMO,Rocky Mountain NP,2018
10,560,312757,ROMO,Rocky Mountain NP,2018
11,100,125349,ROMO,Rocky Mountain NP,2018
12,60,106781,ROMO,Rocky Mountain NP,2018
1,90,118152,ROMO,Rocky Mountain NP,2019
2,50,99873,ROMO,Rocky Mountain NP,2019
3,80,146414,ROMO,Rocky Mountain NP,2019
4,70,160259,ROMO,Rocky Mountain NP,2019
5,490,280351,ROMO,Rocky Mountain NP,2019
6,1400,698224,ROMO,Rocky Mountain NP,2019
7,2050,973992,ROMO,Rocky Mountain NP,2019
8,2300,830039,ROMO,Rocky Mountain NP,2019
9,1500,752320,ROMO,Rocky Mountain NP,2019
10,560,374003,ROMO,Rocky Mountain NP,2019
11,100,123376,ROMO,Rocky Mountain NP,2019
12,60,113050,ROMO,Rocky Mountain NP,2019
1,90,126866,ROMO,Rocky Mountain NP,2020
2,50,110667,ROMO,Rocky Mountain NP,2020
3,80,97690,ROMO,Rocky Mountain NP,2020
4,70,0,ROMO,Rocky Mountain NP,2020
5,490,63051,ROMO,Rocky Mountain NP,2020
6,1400,491355,ROMO,Rocky Mountain NP,2020
7,2050,723478,ROMO,Rocky Mountain NP,2020
8,2300,580368,ROMO,Rocky Mountain NP,2020
9,1500,500019,ROMO,Rocky Mountain NP,2020
10,560,297665,ROMO,Rocky Mountain NP,2020
11,100,157875,ROMO,Rocky Mountain NP,2020
12,60,156165,ROMO,Rocky Mountain NP,2020
1,90,140715,ROMO,Rocky Mountain NP,2021
2,50,133771,ROMO,Rocky Mountain NP,2021
3,80,155819,ROMO,Rocky Mountain NP,2021
4,70,183792,ROMO,Rocky Mountain NP,2021
5,490,335060,ROMO,Rocky Mountain NP,2021
6,1400,671232,ROMO,Rocky Mountain NP,2021
7,2050,904767,ROMO,Rocky Mountain NP,2021
8,2300,746343,ROMO,Rocky Mountain NP,2021
9,1500,521233,ROMO,Rocky Mountain NP,2021
10,560,352736,ROMO,Rocky Mountain NP,2021
11,100,164992,ROMO,Rocky Mountain NP,2021
12,60,124388,ROMO,Rocky Mountain NP,2021
1,90,130331,ROMO,Rocky Mountain NP,2022
2,50,101109,ROMO,Rocky Mountain NP,2022
3,80,145752,ROMO,Rocky Mountain NP,2022
