Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
12,13099405,15591017,Parkwide,All NPS Park Units,2016
1,12932243,14341801,Parkwide,All NPS Park Units,2017
2,13127341,14623099,Parkwide,All NPS Park Units,2017
3,14042366,21415417,Parkwide,All NPS Park Units,2017
4,14361425,27746262,Parkwide,All NPS Park Units,2017
5,14501102,32144371,Parkwide,All NPS Park Units,2017
6,14870864,39293938,Parkwide,All NPS Park Units,2017
7,15417419,45778513,Parkwide,All NPS Park Units,2017
8,15039219,41756749,Parkwide,All NPS Park Units,2017
9,14818507,32614418,Parkwide,All NPS Park Units,2017
10,14696380,26914877,Parkwide,All NPS Park Units,2017
11,14332175,18987623,Parkwide,All NPS Park Units,2017
12,13973695,15265683,Parkwide,All NPS Park Units,2017
1,13712113,12635938,Parkwide,All NPS Park Units,2018
2,12830242,13822694,Parkwide,All NPS Park Units,2018
3,14575360,21035485,Parkwide,All NPS Park Units,2018
4,14265408,25889186,Parkwide,All NPS Park Units,2018
5,14190347,32211085,Parkwide,All NPS Park Units,2018
6,14872373,39331983,Parkwide,All NPS Park Units,2018
7,15334272,44636360,Parkwide,All NPS Park Units,2018
8,14900808,39182620,Parkwide,All NPS Park Units,2018
9,14251591,31323509,Parkwide,All NPS Park Units,2018
10,14059432,26474952,Parkwide,All NPS Park Units,2018
11,13645350,17774444,Parkwide,All NPS Park Units,2018
12,13693455,13893577,Parkwide,All NPS Park Units,2018
1,12096049,10421017,Parkwide,All NPS Park Units,2019
2,12441585,13234605,Parkwide,All NPS Park Units,2019
3,14491577,21419934,Parkwide,All NPS Park Units,2019
4,13990136,27448441,Parkwide,All NPS Park Units,2019
5,14440653,32363533,Parkwide,All NPS Park Units,2019
6,14614238,41731441,Parkwide,All NPS Park Units,2019
7,15512560,45230730,Parkwide,All NPS Park Units,2019
8,15058105,40784074,Parkwide,All NPS Park Units,2019
9,14385986,32489175,Parkwide,All NPS Park Units,2019
